"GMI_CNTRY","POPIO_NAME","POINT_X","POINT_Y","CONTINENT","POPIO_NAME_ES"
"TKM","Turkmenistan",59.376143,39.115934,"Asia","Turkmenistan"
"UGA","Uganda",32.36704,1.275691,"Africa","Uganda"
"UKR","Ukraine",31.385855,48.99725,"Europe","Ucrania"
"ARE","United Arab Emirates",53.982495292,23.4335314986,"Asia","Emiratos çrabes Unidos"
"GBR","United Kingdom",-0.24654563597,52.2497215527,"Europe","Reino Unido"
"USA","United States",-99.1288693544,39.5316721041,"North America","Estados  Unidos"
"URY","Uruguay",-56.01756,-32.800173,"South America","Uruguay"
"VIR","US Virgin Islands",-64.7625851905,17.7355380388,"North America","Islas V’rgenes"
"UZB","Uzbekistan",63.139909,41.756036,"Asia","Uzbekist‡n"
"VUT","Vanuatu",167.701058,-16.201437,"Oceania","Vanuatu"
"VNM","Vietnam",106.301296,16.641606,"Asia","Vietnam"
"WBG","West Bank and Gaza",34.351906,31.389951,"Africa","West Bank and Gaza"
"ESH","Western Sahara",-12.214726,24.232712,"Africa","Sahara Occidental"
"ZMB","Zambia",27.774212,-13.46011,"Africa","Zambia"
"ZWE","Zimbabwe",29.851885,-19.002537,"Africa","Zimbabwe"
